Intent_id,Standard,Clause_or_control,Intent_type,Intent_statement,Evidence_examples,Strength,Mandatory,Applicability ,Exclusion_Justified,Process,Action_Title,compliance_status
INT-04-01,ISO27001_2022,4.1,governance,External issues relevant to the organizations purpose are determined,"Context analysis document, external issues register",Strong,Yes,Applicable,,Governance & Policy,External issues relevant to the organizations purpose are determined,Not Started
INT-04-02,ISO27001_2022,4.1,governance,Internal issues relevant to the organizations purpose are determined,"Context analysis document, internal issues register",Strong,Yes,Applicable,,Governance & Policy,Internal issues relevant to the organizations purpose are determined,Not Started
INT-04-03,ISO27001_2022,4.1,governance,External issues affecting the achievement of ISMS intended outcomes are determined,"Context analysis, risk inputs, threat landscape",Strong,Yes,Applicable,,Governance & Policy,External issues affecting the achievement of ISMS intended outcomes are determined,Not Started
INT-04-04,ISO27001_2022,4.1,governance,Internal issues affecting the achievement of ISMS intended outcomes are determined,"Context analysis, internal risk themes",Strong,Yes,Applicable,,Governance & Policy,Internal issues affecting the achievement of ISMS intended outcomes are determined,Not Started
INT-04-05,ISO27001_2022,4.2,governance,Interested parties relevant to the information security management system are determined,"Interested parties register, stakeholder analysis",Strong,Yes,Applicable,,Governance & Policy,Interested parties relevant to the information security management system are determined,Not Started
INT-04-06,ISO27001_2022,4.2,governance,Information security requirements of relevant interested parties are determined,"Requirements register, contracts, regulatory mappings",Strong,Yes,Applicable,,Governance & Policy,Information security requirements of relevant interested parties are determined,Not Started
INT-04-07,ISO27001_2022,4.2,governance,Legal requirements relevant to the information security management system are determined,"Legal register, compliance obligations",Strong,Yes,Applicable,,Governance & Policy,Legal requirements relevant to the information security management system are determined,Not Started
INT-04-08,ISO27001_2022,4.2,governance,Regulatory requirements relevant to the information security management system are determined,"Regulatory register, compliance matrix",Strong,Yes,Applicable,,Governance & Policy,Regulatory requirements relevant to the information security management system are determined,Not Started
INT-04-09,ISO27001_2022,4.2,governance,Contractual information security requirements are determined,"Contracts, SLAs, customer agreements",Strong,Yes,Applicable,,Governance & Policy,Contractual information security requirements are determined,Not Started
INT-04-10,ISO27001_2022,4.2,governance,Interested party requirements addressed through the information security management system are determined,"ISMS scope mapping, control applicability rationale",Strong,Yes,Applicable,,Governance & Policy,Interested party requirements addressed through the information security management system are determined,Not Started
INT-04-14,ISO27001_2022,4.3,governance,The ISMS scope is formally documented,ISMS Scope Statement,Strong,Yes,Applicable,,Governance & Policy,The ISMS scope is formally documented,Not Started
INT-04-15,ISO27001_2022,4.3,governance,Boundaries and applicability of the ISMS are clearly defined,Scope document,Strong,Yes,Applicable,,Governance & Policy,Boundaries and applicability of the ISMS are clearly defined,Not Started
INT-04-16,ISO27001_2022,4.3,governance,ISMS scope considers internal and external issues identified under Clause 4.1,Scope rationale,Strong,Yes,Applicable,,Governance & Policy,ISMS scope considers internal and external issues identified under Clause 4.1,Not Started
INT-04-17,ISO27001_2022,4.3,governance,ISMS scope considers interested party requirements identified under Clause 4.2,Scope rationale,Strong,Yes,Applicable,,Governance & Policy,ISMS scope considers interested party requirements identified under Clause 4.2,Not Started
INT-04-18,ISO27001_2022,4.3,governance,Interfaces and dependencies with external parties are identified within the scope definition,Scope documentation,Medium,Yes,Applicable,,Governance & Policy,Interfaces and dependencies with external parties are identified within the scope definition,Not Started
INT-04-19,ISO27001_2022,4.3,governance,A defined frequency exists for reviewing the ISMS scope,Scope procedure,Medium,Yes,Applicable,,Governance & Policy,A defined frequency exists for reviewing the ISMS scope,Not Started
INT-04-20,ISO27001_2022,4.3,governance,ISMS scope was reviewed within the last 12 months,Review records,Strong,Yes,Applicable,,Governance & Policy,ISMS scope was reviewed within the last 12 months,Not Started
INT-04-21,ISO27001_2022,4.3,governance,ISMS scope is approved by top management,Approval records,Strong,Yes,Applicable,,Governance & Policy,ISMS scope is approved by top management,Not Started
INT-04-22,ISO27001_2022,4.4,governance,An information security management system has been formally established,ISMS documentation,Strong,Yes,Applicable,,Governance & Policy,An information security management system has been formally established,Not Started
INT-04-23,ISO27001_2022,4.4,governance,ISMS processes are implemented across the defined scope,Process evidence,Strong,Yes,Applicable,,Governance & Policy,ISMS processes are implemented across the defined scope,Not Started
INT-04-24,ISO27001_2022,4.4,governance,ISMS processes are maintained on an ongoing basis,Operational records,Medium,Yes,Applicable,,Governance & Policy,ISMS processes are maintained on an ongoing basis,Not Started
INT-04-25,ISO27001_2022,4.4,governance,ISMS processes and their interactions are documented,"Process maps, procedures",Strong,Yes,Applicable,,Governance & Policy,ISMS processes and their interactions are documented,Not Started
INT-04-26,ISO27001_2022,4.4,governance,Interactions between ISMS processes are identified and documented,ISMS diagrams,Medium,Yes,Applicable,,Governance & Policy,Interactions between ISMS processes are identified and documented,Not Started
INT-04-27,ISO27001_2022,4.4,governance,A mechanism exists to continually improve the ISMS,"Management review records, corrective actions",Strong,Yes,Applicable,,Governance & Policy,A mechanism exists to continually improve the ISMS,Not Started
INT-05-01,ISO27001_2022,5.1,governance,Top management ensures the information security policy is established and aligned with the organizations strategic direction,"Approved Information Security Policy, strategy documents",Strong,Yes,Applicable,,Governance & Policy,Establish Information Security Policies,Not Started
INT-05-02,ISO27001_2022,5.1,governance,Information security objectives are established and compatible with the organizations strategic direction,"IS objectives document, management review records",Strong,Yes,Applicable,,Governance & Policy,Establish Information Security Policies,Not Started
INT-05-03,ISO27001_2022,5.1,governance,ISMS requirements are integrated into the organizations business processes,"Process documentation, governance framework",Medium,Yes,Applicable,,Governance & Policy,Establish Information Security Policies,Not Started
INT-05-04,ISO27001_2022,5.1,governance,Top management ensures necessary resources for the ISMS are allocated,"Budget approvals, funding decisions",Medium,Yes,Applicable,,Governance & Policy,Establish Information Security Policies,Not Started
INT-05-05,ISO27001_2022,5.1,governance,Top management ensures necessary resources for the ISMS are available,"Staffing records, tool availability, capacity plans",Medium,Yes,Applicable,,Governance & Policy,Establish Information Security Policies,Not Started
INT-05-06,ISO27001_2022,5.1,governance,Top management communicates the importance of effective information security management and ISMS conformity,"Emails, memos, town halls, signed statements",Strong,Yes,Applicable,,Governance & Policy,Establish Information Security Policies,Not Started
INT-05-07,ISO27001_2022,5.1,governance,Top management monitors whether the ISMS achieves its intended outcomes,"Management review outputs, KPI dashboards",Medium,Yes,Applicable,,Governance & Policy,Establish Information Security Policies,Not Started
INT-05-08,ISO27001_2022,5.1,governance,Top management directs and supports personnel contributing to ISMS effectiveness,"Role assignments, performance objectives",Medium,Yes,Applicable,,Governance & Policy,Establish Information Security Policies,Not Started
INT-05-09,ISO27001_2022,5.1,governance,Top management promotes continual improvement of the ISMS,"Improvement actions, management review minutes",Medium,Yes,Applicable,,Governance & Policy,Establish Information Security Policies,Not Started
INT-05-10,ISO27001_2022,5.1,governance,Relevant management roles are supported in demonstrating leadership related to information security,"Org chart, responsibility matrix",Medium,Yes,Applicable,,Governance & Policy,Establish Information Security Policies,Not Started
INT-04-01,ISO27001_2022,5.2,governance,An information security policy is formally documented and approved by top management,Approved information security policy,strong,Yes,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-04-02,ISO27001_2022,5.2,governance,The information security policy is communicated to relevant employees,Policy acknowledgement records or training,strong,Yes,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-04-03,ISO27001_2022,5.2,governance,The information security policy is reviewed at planned intervals or upon significant change,Policy review records,medium,Yes,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-04-04,ISO27001_2022,5.2,governance,The information security policy is available to relevant interested parties,Published policy or access logs,medium,Yes,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-05-01,ISO27001_2022,5.3,governance,Information security roles and responsibilities are formally defined and documented,Roles and responsibilities document or policy,strong,Yes,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-05-02,ISO27001_2022,5.3,governance,Information security responsibilities are assigned to specific roles or individuals,Organizational chart or role assignments,strong,Yes,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-05-03,ISO27001_2022,5.3,governance,Authority for information security decision-making is defined and communicated,Delegation of authority or governance documents,medium,Yes,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-05-04,ISO27001_2022,5.3,governance,Top management ensures accountability for information security within the organization,Management review records or governance meeting minutes,medium,Yes,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-05-05,ISO27001_2022,5.3,governance,Information security responsibilities are reviewed and updated when organizational changes occur,Role review records or change management documentation,weak,Yes,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-06-01,ISO27001_2022,6.1.1,governance,Risks and opportunities that can affect the ISMS are identified,ISMS risk and opportunity register,strong,Yes,,,Risk Management,Risks and opportunities that can affect the ISMS are identified,Not Started
